ENROLLMENTPIDM,GENDER,FIRST_GEN,LOW_SES,LGBTQ,AGE,Age Group,ETHNICITYROLLUP,MIDEAST,API,HISPANIC,CREDITHOURS,CR/NC,FIRSTTIMEATWVC,FIRSTSEM,FINAID2223,ZIPCODE,SPRADDR_CITY,STVEGOL_DESC,STVMAJR_DESC,TOTAL_UNITS_ATT,TOTAL_UNITS_EARNED,SHRLGPA_GPA_HOURS,SHRLGPA_QUALITY_POINTS,STVSTYP_DESC,EDLEVEL,High School,HSCODE,GRAD_YEAR,RESIDENCY_TYPE
1172987,Female,Y,N,N,67,50+,Asian,N,Y,N,3.0-5.9,Credit,No,200770,No,95032,Los Gatos,Associate & transfer to 4-yr,Liberal Arts: Arts & Hum,12,9,9,36,Returning Student,Bachelor Degree or higher,Foreign High School,8XXXXX,1973,In state Resident
1173852,Male,Y,N,N,33,30-34,White,N,N,N,6.0-8.9,Credit,No,200750,No,95070,Saratoga,Associate & transfer to 4-yr,Liberal Arts: Sci & Math,127.67,84.67,85.33,308.32,Continuing Student,Associate Degree,Westmnt High Schl,053103,2006,In state Resident
1179739,Female,Y,Y,N,46,40-49,Hispanic,N,N,Y,3.0-5.9,Credit,No,200830,Yes,95136,San Jose,Associate & transfer to 4-yr,Administration of Justice,88.5,62.5,61.5,189,Returning Student,Received High School Diploma,San Jose High,053098,1994,In state Resident
1180422,Female,N,Y,N,33,30-34,Hispanic,N,N,Y,3.0-5.9,Credit,No,201670,No,94085,Sunnyvale,Associate & transfer to 4-yr,"Early Childhood Education, AST",118,73,85,229,Continuing Student,,Homestead High,053462,2007,In state Resident
1182394,Female,N,N,N,44,40-49,Asian,N,Y,N,3.0-5.9,Credit,Yes,,No,95054,Santa Clara,Associate & transfer to 4-yr,Landscape Architecture,64,55,54,205,Returning Student,Bachelor Degree or higher,Foreign High School,8XXXXX,1995,In state Resident
1197973,Female,N,N,N,58,50+,White,Y,N,N,3.0-5.9,Credit,No,200870,No,95124,San Jose,Associate & transfer to 4-yr,Web and App Design,47,37,24,93,Continuing Student,Foreign 2ndr Diploma/Cert Grad,Foreign High School,8XXXXX,1981,In state Resident
1198986,Male,N,N,N,31,30-34,Two or More,N,Y,N,6.0-8.9,Credit,No,200870,No,95120,San Jose,Associate & transfer to 4-yr,Engineering,91.5,62,65,147,Returning Student,Received High School Diploma,Leland High Schl,053091,2009,In state Resident
1204539,Female,N,Y,N,30,30-34,White,N,N,N,3.0-5.9,Credit,No,201150,No,95008,Campbell,Educational development,Biological Science,156,129.5,128,475,Continuing Student,Bachelor Degree or higher,Santa Clara High,433012,2010,In state Resident
1205483,Male,Y,N,N,34,30-34,Hispanic,N,N,Y,6.0-8.9,Credit,No,201150,No,95148,San Jose,Associate & transfer to 4-yr,Liberal Arts: Arts & Hum,46,22,32,70,Returning Student,Received High School Diploma,San Benit High Schl,051180,2006,In state Resident
1208627,Male,U,Y,N,37,35-39,Asian,N,Y,N,3.0-5.9,Credit,No,200950,No,95128,San Jose,Transfer to 4-year w/o Asso.,"Civil Track, AS",51.5,21,21,68,Returning Student,Not graduate/not enrolled HS,James Lick High Schl,053090,2002,In state Resident
1209101,Male,Y,N,N,30,30-34,Hispanic,N,Y,Y,6.0-8.9,Credit,No,201250,No,95116,San Jose,Vocational certificate,Marketing Digital Communicntns,74.5,50.5,49,128,Returning Student,Bachelor Degree or higher,Piedmnt Hills High Schl,051976,2009,In state Resident
1212854,Male,U,Y,N,31,30-34,Hispanic,N,N,Y,6.0-8.9,Credit,No,200970,No,95120,San Jose,Associate & transfer to 4-yr,Administration of Justice,100.502,77.502,61.002,185.3385,Continuing Student,Received High School Diploma,Willow Vale Christian,710099,2011,In state Resident
1215808,Female,Y,Y,N,33,30-34,White,Y,N,N,12.0-14.9,Credit,No,200950,Yes,92177,San Diego,Associate & transfer to 4-yr,Biological Science,94.5,59.5,46.5,119.5,Returning Student,Foreign 2ndr Diploma/Cert Grad,Foreign High School,8XXXXX,2006,In state Resident
1221163,Male,N,Y,N,33,30-34,Two or More,N,Y,N,3.0-5.9,Credit,No,201030,No,95117,San Jose,Associate & transfer to 4-yr,Engineering,94.5,47,51,112,Returning Student,Foreign 2ndr Diploma/Cert Grad,Foreign High School,8XXXXX,2007,In state Resident
1225067,Female,Y,Y,N,45,40-49,Asian,N,Y,N,9.0-11.9,Credit,No,202170,Yes,95051,Santa Clara,2-yr associate degree,Apparel Design,19,19,18,72,Continuing Student,Bachelor Degree or higher,George Washington High,383908,1995,In state Resident
1227750,Male,N,Y,N,30,30-34,Hispanic,N,N,Y,3.0-5.9,Credit,No,201270,No,95124,San Jose,Prep for new career/job skill,Computer Aided Drafting & Desn,111.1,81.3,80.6,192.6,Returning Student,Associate Degree,Branham High Schl,433086,2010,In state Resident
1229965,Male,Y,Y,N,30,30-34,Asian,N,Y,N,6.0-8.9,Credit,No,201070,No,95136,San Jose,Associate & transfer to 4-yr,Engineering,111.5,75.5,72,202,Continuing Student,Received High School Diploma,Leland High,433352,2010,In state Resident
1236089,Female,Y,N,N,31,30-34,Asian,N,Y,N,3.0-5.9,Credit,No,202150,No,95132,San Jose,Associate & transfer to 4-yr,"Office Administration, AS",152,134,98,309,Continuing Student,Received High School Diploma,Piedmnt Hills High Schl,051976,2010,In state Resident
1236606,Female,N,N,N,61,50+,Asian,N,Y,N,3.0-5.9,Credit,No,201070,No,95051,Santa Clara,Associate & transfer to 4-yr,Web and App Design,59,35,35,101,Continuing Student,Bachelor Degree or higher,Foreign High School,8XXXXX,1975,In state Resident
1238655,Male,N,N,N,30,30-34,Two or More,N,Y,N,3.0-5.9,Credit,No,201130,No,95070,Saratoga,Associate & transfer to 4-yr,Mathematics,62.5,31.5,28,93,Continuing Student,Foreign 2ndr Diploma/Cert Grad,Foreign High School,8XXXXX,2009,In state Resident
1243831,Female,Y,Y,N,29,25-29,Hispanic,N,N,Y,3.0-5.9,Credit,Yes,,Yes,95118,San Jose,Associate & transfer to 4-yr,"Child & Adolescent Dev, AA-T",,,,,Transfer Student,Received High School Diploma,Gunderson High,433008,2011,In state Resident
1254338,Female,N,Y,N,32,30-34,Two or More,N,N,N,9.0-11.9,Credit,No,201230,Yes,95070,Saratoga,Associate & transfer to 4-yr,Interior Design,104.33,95.33,91.33,317.52,Continuing Student,Associate Degree,Foreign High School,8XXXXX,2007,In state Resident
1254378,Female,N,Y,Y,28,25-29,White,N,N,N,3.0-5.9,Credit,No,201230,No,95118,San Jose,Associate & transfer to 4-yr,Early Childhood Education,112.5,112.5,109,383,Continuing Student,Received High School Diploma,Broadway High,433211,2012,In state Resident
1258420,Female,N,Y,N,28,25-29,Hispanic,N,N,Y,3.0-5.9,Credit,No,201250,No,95112,San Jose,Associate & transfer to 4-yr,Small Business Startup,202.17,116.5,126.67,326,Continuing Student,,Pineer High Schl,053096,,In state Resident
1259406,Female,N,Y,Y,27,25-29,Two or More,N,Y,N,3.0-5.9,Credit,No,201270,No,95030,Los Gatos,Mtg 4-yr college req-4yr stud,Studio Arts,130,110,110,374,Returning Student,Associate Degree,Ls Gats High Schl,051855,2013,In state Resident
1260102,Male,Y,Y,N,27,25-29,White,N,N,N,0.1-2.9,Credit,No,201270,Yes,94089,Sunnyvale,Associate & transfer to 4-yr,Marketing Digital Communicntns,111,97,88,329,Continuing Student,Bachelor Degree or higher,Leigh High,433023,2012,In state Resident
1261394,Female,N,Y,N,29,25-29,White,N,N,N,3.0-5.9,Credit,No,201270,Yes,95030,Los Gatos,2-yr associate degree,Administration of Justice,139,98,104,292,Continuing Student,Received High School Diploma,Ls Gats High Schl,051855,2011,In state Resident
1262752,Female,N,Y,N,29,25-29,White,N,N,N,9.0-11.9,Credit,No,201270,No,95124,San Jose,Associate & transfer to 4-yr,"Communication Studies, AAT",128,75.5,73.5,210.5,Continuing Student,,Carmel High Schl,050475,2011,In state Resident
1266474,Female,U,N,N,64,50+,White,N,N,N,3.0-5.9,Credit,No,201410,No,94085,Sunnyvale,Associate & transfer to 4-yr,"LA: Nat Sci & Math, AA",64.5,61.5,61.5,246,Continuing Student,GED/HS Cert Equiv/Completion,,,,In state Resident
1268935,Female,N,N,N,51,50+,White,N,N,N,6.0-8.9,Credit,No,201330,No,95070,Saratoga,Associate & transfer to 4-yr,Liberal Arts: Sci & Math,106.5,89.5,97,278,Continuing Student,Received High School Diploma,American Legin High Schl,052700,1989,In state Resident
1269832,Female,N,N,N,24,20-24,White,N,N,N,6.0-8.9,Credit,No,202030,No,95129,San Jose,Associate & transfer to 4-yr,Nutrition & Dietetics,62.5,57.5,57,228,Continuing Student,Received High School Diploma,Prspect High Schl,053344,2015,In state Resident
1270507,Female,N,Y,N,50,50+,African American/African,N,N,N,3.0-5.9,Credit,No,201530,Yes,95119,San Jose,Associate & transfer to 4-yr,Psychology,66.17,63.17,63.17,238.18,Continuing Student,Received High School Diploma,Sequoia High,413669,1993,In state Resident
1273058,Male,N,N,N,26,25-29,White,N,N,N,3.0-5.9,Credit,No,201370,No,95124,San Jose,Associate & transfer to 4-yr,Business Administration,55,32,32,69,Continuing Student,Received High School Diploma,Leigh High,433023,2013,In state Resident
1276206,Male,Y,N,N,76,50+,White,N,N,N,3.0-5.9,Credit,No,201950,No,94024,Los Altos,Associate & transfer to 4-yr,Theatre Arts:Film Studies,24,24,18,72,Continuing Student,Bachelor Degree or higher,High School - New York,600320,1963,In state Resident
1279232,Female,N,N,N,27,25-29,Two or More,N,Y,N,3.0-5.9,Credit,No,201430,No,95120,San Jose,Associate & transfer to 4-yr,Kinesiology AAT,130.6,111.3,98.6,325.4,Continuing Student,Associate Degree,Leland High,433352,2013,In state Resident
1279773,Female,N,N,N,41,40-49,White,N,N,N,6.0-8.9,Credit,No,201430,No,95116,San Jose,2-yr associate degree,Interior Design,63,60,56,220,Continuing Student,Bachelor Degree or higher,Foreign High School,8XXXXX,1998,In state Resident
1280909,Female,N,Y,N,31,30-34,White,N,N,N,3.0-5.9,Credit,Yes,,No,95050,Santa Clara,Associate & transfer to 4-yr,Liberal Arts: Arts & Hum,62,62,59,208,Returning Student,Associate Degree,Foreign High School,8XXXXX,2009,In state Resident
1283668,Female,N,N,N,23,20-24,Asian,N,Y,N,0.1-2.9,Credit,Yes,,No,95051,Santa Clara,Associate & transfer to 4-yr,Mathematics,5,5,5,20,Returning Student,Received High School Diploma,Adrian Wilcox High,433880,2016,In state Resident
1284697,Female,N,N,N,59,50+,White,N,N,N,3.0-5.9,Credit,No,201670,No,95033,Los Gatos,Associate & transfer to 4-yr,Studio Arts,6,6,6,24,Returning Student,Bachelor Degree or higher,Foreign High School,8XXXXX,1982,In state Resident
1286635,Male,N,N,N,26,25-29,White,N,N,N,6.0-8.9,Credit,No,201450,No,95070,Saratoga,Associate & transfer to 4-yr,Psychology,85,65,65,178,Returning Student,Received High School Diploma,Saratoga High,433776,2014,In state Resident
1286784,Male,N,N,N,25,25-29,Hispanic,N,N,Y,9.0-11.9,Credit,No,201670,No,95050,Santa Clara,Associate & transfer to 4-yr,Park Management,68.5,42.5,53,122,Returning Student,Received High School Diploma,Santa Clara High,433012,2016,In state Resident
1288449,Female,N,N,Y,27,25-29,White,N,N,N,9.0-11.9,Credit,No,201450,No,95030,Monte Sereno,2-yr associate degree,Liberal Arts: Arts & Hum,45.5,30,34,88,Returning Student,Received High School Diploma,"Harker, The",698352,2013,In state Resident
1288517,Male,N,Y,N,27,25-29,Filipino,N,Y,N,6.0-8.9,Credit,No,201470,No,95128,San Jose,Associate & transfer to 4-yr,"Fire Technology, AS",30,24,24,61,Continuing Student,Bachelor Degree or higher,Del Mar High Schl,053083,2012,In state Resident
1290845,Female,N,N,N,39,35-39,White,N,N,N,3.0-5.9,Credit,No,201530,No,94041,MOUNTAIN VIEW,Educational development,Apparel Design,190,184,64,253,Continuing Student,Bachelor Degree or higher,Foreign High School,8XXXXX,2001,In state Resident
1291131,Male,U,Y,N,30,30-34,Asian,N,Y,N,3.0-5.9,Credit,Yes,,No,95132,San Jose,Associate & transfer to 4-yr,"Biology, AST",165,154,128.5,464,Continuing Student,Associate Degree,Foreign High School,8XXXXX,2010,In state Resident
1292385,Female,N,N,Y,27,25-29,White,N,N,N,9.0-11.9,Credit,No,201530,No,95136,San Jose,Associate & transfer to 4-yr,Art History,46,3,23,9,Returning Student,Received High School Diploma,Presentation High,694061,2013,In state Resident
1292736,Male,N,Y,N,24,20-24,Hispanic,N,N,Y,6.0-8.9,Credit,No,201530,No,95126,San Jose,Associate & transfer to 4-yr,Undeclared,118.5,79,80.5,193,Continuing Student,,Branham High Schl,053082,2015,In state Resident
1294505,Male,N,Y,N,31,30-34,White,N,N,N,6.0-8.9,Credit,No,201550,Yes,95130,San Jose,Associate & transfer to 4-yr,Business Admininstration,113.5,74.5,72.5,264,Continuing Student,,Luther Burbank High Schl,052719,,In state Resident
1294522,Female,N,N,N,54,50+,Asian,N,Y,N,6.0-8.9,Credit,No,201570,No,94043,Mountain View,Associate & transfer to 4-yr,Early Childhood Teacher 1,204,186,204,554.8,Returning Student,Bachelor Degree or higher,Othr CA High Sch - no CDS code,600050,1985,In state Resident
1295476,Male,N,N,N,24,20-24,White,N,N,N,9.0-11.9,Credit,No,201550,No,95032,Los Gatos,Associate & transfer to 4-yr,"Biology, AST",46,9,16,33,Continuing Student,Special Admit enrolled K-12,Ls Gats High Schl,051855,,In state Resident
1296759,Male,N,Y,N,25,25-29,White,N,N,N,9.0-11.9,Credit,No,201570,Yes,95120,San Jose,Associate & transfer to 4-yr,Business Administration,82,46,56,109,Returning Student,Received High School Diploma,Leland High,433352,2015,In state Resident
1297150,Female,N,Y,N,24,20-24,White,Y,N,N,6.0-8.9,Credit,No,201550,No,95070,Saratoga,Associate & transfer to 4-yr,Studio Arts,102.5,93.5,93,294,Continuing Student,Bachelor Degree or higher,Saratga High Schl,053343,2016,In state Resident
1298653,Female,U,Y,N,25,25-29,Hispanic,N,N,Y,6.0-8.9,Credit,No,201550,Yes,95111,San Jose,Associate & transfer to 4-yr,Early Childhood Education,91.5,50,56,128,Continuing Student,Received High School Diploma,Yerba Buena High,053113,2015,In state Resident
1298883,Female,Y,Y,N,25,25-29,African American/African,N,N,N,3.0-5.9,Credit,No,202150,No,95117,San Jose,Associate & transfer to 4-yr,Undeclared,112,66,63,164,First Time Student,Foreign 2ndr Diploma/Cert Grad,Foreign High School,8XXXXX,2015,In state Resident
1299702,Female,N,N,N,25,25-29,Hispanic,N,N,Y,6.0-8.9,Credit,No,201570,No,95136,San Jose,Associate & transfer to 4-yr,Music,66,35,41,99,Continuing Student,,Oak Grove High,053099,2015,In state Resident
1300223,Female,Y,Y,N,53,50+,White,N,N,N,6.0-8.9,Credit,No,201550,Yes,95128,San Jose,Associate & transfer to 4-yr,Early Childhood Education,50,50,43.5,171,Continuing Student,Foreign 2ndr Diploma/Cert Grad,Foreign High School,8XXXXX,1987,In state Resident
1301307,Female,N,Y,N,25,25-29,Hispanic,N,N,Y,3.0-5.9,Credit,No,201630,Yes,95035,Milpitas,Associate & transfer to 4-yr,Administration of Justice,36,21,24,75,Continuing Student,Received High School Diploma,Milpitas High,433447,2015,In state Resident
1301355,Female,N,N,N,25,25-29,Hispanic,N,N,Y,3.0-5.9,Credit,No,201630,No,95124,San Jose,Associate & transfer to 4-yr,Undeclared,79.5,60.5,57.5,211,Continuing Student,Received High School Diploma,Branham High Schl,053082,2015,In state Resident
1301678,Female,Y,N,N,61,50+,White,N,N,N,6.0-8.9,Credit,No,201570,No,95030,Monte Sereno,Adv in career/update jobskills,"Unmanned Aircraft Techno, AS",211,211,204,615,Returning Student,Bachelor Degree or higher,Leigh High Schl,053092,1979,In state Resident
1302201,Female,N,N,N,23,20-24,Hispanic,N,N,Y,15+,Credit,No,201630,No,95118,San Jose,Associate & transfer to 4-yr,"Interior Design Pro, CA",64,64,61,228,Returning Student,Bachelor Degree or higher,Pineer High Schl,053096,2016,In state Resident
1305109,Male,N,N,N,26,25-29,White,N,N,N,6.0-8.9,Credit,No,201650,No,95032,Los Gatos,Undeciced on goal,"Entrepreneurship, CA",17.5,6,6,15,Continuing Student,Received High School Diploma,High School - Idaho,600120,2018,In state Resident
1305716,Female,N,N,N,22,20-24,Hispanic,N,N,Y,3.0-5.9,Credit,No,201650,No,95008,Campbell,Associate & transfer to 4-yr,Liberal Arts: Soc & Beh Sci,116,113,113,364.66,Continuing Student,Received High School Diploma,Del Mar High,433195,2018,In state Resident
1305987,Female,U,N,N,24,20-24,White,N,N,N,6.0-8.9,Credit,No,201670,No,95120,San Jose,Associate & transfer to 4-yr,Liberal Arts: Arts & Hum,81.5,44,56.5,119.4,Returning Student,Received High School Diploma,Othr CA High Sch - no CDS code,600050,2016,In state Resident
